"cluster11","n","median","mean","sd","index"
"A1",9,20,21.778,5.89,"Observed_ASVs"
"A2",15,22,21.933,7.235,"Observed_ASVs"
"B1",17,50,49.353,10.161,"Observed_ASVs"
"B2a",17,56,50.882,11.213,"Observed_ASVs"
"B2b",26,45,45.846,8.684,"Observed_ASVs"
"C1a",14,62,63.714,10.823,"Observed_ASVs"
"C1b1",11,45,47.545,13.837,"Observed_ASVs"
"C1b2",19,61,62.053,19.418,"Observed_ASVs"
"C2a",12,73.5,75.333,19.621,"Observed_ASVs"
"C2b1",12,43.5,44.167,8.111,"Observed_ASVs"
"C2b2",29,62,63.966,12.924,"Observed_ASVs"
"A1",9,2.345,2.336,0.205,"Shannon"
"A2",15,2.517,2.416,0.339,"Shannon"
"B1",17,3.208,3.171,0.165,"Shannon"
"B2a",17,3.172,3.164,0.198,"Shannon"
"B2b",26,2.98,2.966,0.209,"Shannon"
"C1a",14,3.56,3.55,0.122,"Shannon"
"C1b1",11,3.191,3.225,0.169,"Shannon"
"C1b2",19,3.535,3.508,0.266,"Shannon"
"C2a",12,3.413,3.414,0.206,"Shannon"
"C2b1",12,3.273,3.219,0.164,"Shannon"
"C2b2",29,3.349,3.333,0.213,"Shannon"
"A1",9,0.846,0.849,0.03,"Simpson"
"A2",15,0.874,0.858,0.053,"Simpson"
"B1",17,0.935,0.935,0.011,"Simpson"
"B2a",17,0.929,0.925,0.023,"Simpson"
"B2b",26,0.911,0.906,0.026,"Simpson"
"C1a",14,0.955,0.955,0.006,"Simpson"
"C1b1",11,0.94,0.94,0.012,"Simpson"
"C1b2",19,0.956,0.954,0.012,"Simpson"
"C2a",12,0.929,0.929,0.012,"Simpson"
"C2b1",12,0.94,0.939,0.015,"Simpson"
"C2b2",29,0.935,0.93,0.019,"Simpson"
"A1",9,20,21.778,5.89,"Chao1"
"A2",15,22,21.933,7.235,"Chao1"
"B1",17,50,49.353,10.161,"Chao1"
"B2a",17,56,50.882,11.213,"Chao1"
"B2b",26,45,45.846,8.684,"Chao1"
"C1a",14,62,63.714,10.823,"Chao1"
"C1b1",11,45,47.545,13.837,"Chao1"
"C1b2",19,61,62.053,19.418,"Chao1"
"C2a",12,73.5,75.333,19.621,"Chao1"
"C2b1",12,43.5,44.167,8.111,"Chao1"
"C2b2",29,62,63.966,12.924,"Chao1"
