"PC","test","pair","R2","F_value","p_value","sig"
"PC1","PERMANOVA (overall)","A/B/C",0.0297,2.62,0.064,"ns"
"PC1","PERMDISP (overall)","A/B/C",NA,1.39,0.2522,"ns"
"PC1","Pairwise PERMANOVA","A vs B",0.0302,2.46,0.186,"ns"
"PC1","Pairwise PERMANOVA","A vs C",0.0393,4.7,0.093,"ns"
"PC1","Pairwise PERMANOVA","B vs C",0.0058,0.86,0.37,"ns"
"PC1","Pairwise PERMDISP","A vs B",NA,NA,0.7356,"ns"
"PC1","Pairwise PERMDISP","A vs C",NA,NA,0.9033,"ns"
"PC1","Pairwise PERMDISP","B vs C",NA,NA,0.2212,"ns"
"PC2","PERMANOVA (overall)","A/B/C",0.0497,4.47,0.009,"**"
"PC2","PERMDISP (overall)","A/B/C",NA,4.89,0.0086,"**"
"PC2","Pairwise PERMANOVA","A vs B",0.0957,8.36,0.018,"*"
"PC2","Pairwise PERMANOVA","A vs C",0.0354,4.22,0.0585,"ns"
"PC2","Pairwise PERMANOVA","B vs C",0.0135,2.03,0.15,"ns"
"PC2","Pairwise PERMDISP","A vs B",NA,NA,0.0059,"**"
"PC2","Pairwise PERMDISP","A vs C",NA,NA,0.0705,"ns"
"PC2","Pairwise PERMDISP","B vs C",NA,NA,0.2966,"ns"
"PC3","PERMANOVA (overall)","A/B/C",0.1112,10.69,0.001,"***"
"PC3","PERMDISP (overall)","A/B/C",NA,2.08,0.1277,"ns"
"PC3","Pairwise PERMANOVA","A vs B",0.2011,19.88,0.0015,"**"
"PC3","Pairwise PERMANOVA","A vs C",0.0192,2.25,0.149,"ns"
"PC3","Pairwise PERMANOVA","B vs C",0.0863,13.99,0.0015,"**"
"PC3","Pairwise PERMDISP","A vs B",NA,NA,0.4862,"ns"
"PC3","Pairwise PERMDISP","A vs C",NA,NA,0.9629,"ns"
"PC3","Pairwise PERMDISP","B vs C",NA,NA,0.1112,"ns"
"PC4","PERMANOVA (overall)","A/B/C",0.0262,2.3,0.104,"ns"
"PC4","PERMDISP (overall)","A/B/C",NA,0.82,0.4439,"ns"
"PC4","Pairwise PERMANOVA","A vs B",0.0447,3.7,0.1005,"ns"
"PC4","Pairwise PERMANOVA","A vs C",0.0261,3.09,0.1005,"ns"
"PC4","Pairwise PERMANOVA","B vs C",0.0032,0.47,0.457,"ns"
"PC4","Pairwise PERMDISP","A vs B",NA,NA,0.6443,"ns"
"PC4","Pairwise PERMDISP","A vs C",NA,NA,0.4115,"ns"
"PC4","Pairwise PERMDISP","B vs C",NA,NA,0.8987,"ns"
"PC5","PERMANOVA (overall)","A/B/C",0.0141,1.22,0.319,"ns"
"PC5","PERMDISP (overall)","A/B/C",NA,0.57,0.5651,"ns"
"PC5","Pairwise PERMANOVA","A vs B",0.0316,2.58,0.366,"ns"
"PC5","Pairwise PERMANOVA","A vs C",0.0074,0.85,0.388,"ns"
"PC5","Pairwise PERMANOVA","B vs C",0.0058,0.86,0.388,"ns"
"PC5","Pairwise PERMDISP","A vs B",NA,NA,0.9993,"ns"
"PC5","Pairwise PERMDISP","A vs C",NA,NA,0.7731,"ns"
"PC5","Pairwise PERMDISP","B vs C",NA,NA,0.5896,"ns"
"PC6","PERMANOVA (overall)","A/B/C",0.0294,2.59,0.069,"ns"
"PC6","PERMDISP (overall)","A/B/C",NA,0.92,0.4003,"ns"
"PC6","Pairwise PERMANOVA","A vs B",0.0072,0.57,0.43,"ns"
"PC6","Pairwise PERMANOVA","A vs C",0.0056,0.64,0.43,"ns"
"PC6","Pairwise PERMANOVA","B vs C",0.0366,5.62,0.063,"ns"
"PC6","Pairwise PERMDISP","A vs B",NA,NA,0.6771,"ns"
"PC6","Pairwise PERMDISP","A vs C",NA,NA,0.3772,"ns"
"PC6","Pairwise PERMDISP","B vs C",NA,NA,0.8205,"ns"
"PC7","PERMANOVA (overall)","A/B/C",0.0034,0.29,0.748,"ns"
"PC7","PERMDISP (overall)","A/B/C",NA,1.83,0.1636,"ns"
"PC7","Pairwise PERMANOVA","A vs B",0.0051,0.4,0.7785,"ns"
"PC7","Pairwise PERMANOVA","A vs C",0.0048,0.56,0.7785,"ns"
"PC7","Pairwise PERMANOVA","B vs C",0,0.01,0.95,"ns"
"PC7","Pairwise PERMDISP","A vs B",NA,NA,0.8897,"ns"
"PC7","Pairwise PERMDISP","A vs C",NA,NA,0.2584,"ns"
"PC7","Pairwise PERMDISP","B vs C",NA,NA,0.3031,"ns"
"PC8","PERMANOVA (overall)","A/B/C",0.0051,0.44,0.656,"ns"
"PC8","PERMDISP (overall)","A/B/C",NA,0.95,0.3889,"ns"
"PC8","Pairwise PERMANOVA","A vs B",4e-04,0.03,0.857,"ns"
"PC8","Pairwise PERMANOVA","A vs C",0.0018,0.2,0.857,"ns"
"PC8","Pairwise PERMANOVA","B vs C",0.006,0.89,0.857,"ns"
"PC8","Pairwise PERMDISP","A vs B",NA,NA,0.4438,"ns"
"PC8","Pairwise PERMDISP","A vs C",NA,NA,0.3758,"ns"
"PC8","Pairwise PERMDISP","B vs C",NA,NA,0.9981,"ns"
"PC9","PERMANOVA (overall)","A/B/C",0.0137,1.19,0.319,"ns"
"PC9","PERMDISP (overall)","A/B/C",NA,2.5,0.0851,"ns"
"PC9","Pairwise PERMANOVA","A vs B",0.0216,1.75,0.2805,"ns"
"PC9","Pairwise PERMANOVA","A vs C",0.0024,0.27,0.604,"ns"
"PC9","Pairwise PERMANOVA","B vs C",0.0114,1.71,0.2805,"ns"
"PC9","Pairwise PERMDISP","A vs B",NA,NA,0.0841,"ns"
"PC9","Pairwise PERMDISP","A vs C",NA,NA,0.1095,"ns"
"PC9","Pairwise PERMDISP","B vs C",NA,NA,0.9361,"ns"
