"ASV","direction","mean_1_pct","mean_2_pct","log2FC","pvalue","padj"
"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9","Enriched in Cluster 2",0,7.371,16.17,5.66e-13,1.52e-11
"Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_32","Enriched in Cluster 2",0,2.648,14.69,5.66e-13,1.52e-11
"Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (59); ESV_48","Enriched in Cluster 2",0,2.282,14.48,5.66e-13,1.52e-11
"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_68","Enriched in Cluster 2",0,2.559,14.64,5.66e-13,1.52e-11
"Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (88); ESV_201","Enriched in Cluster 2",0,1.176,13.52,5.66e-13,1.52e-11
"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7","Enriched in Cluster 2",0,6.23,15.93,1.25e-12,2.4e-11
"Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_34","Enriched in Cluster 2",0,3.415,15.06,1.25e-12,2.4e-11
"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (98); ESV_139","Enriched in Cluster 2",0,0.95,13.21,2.73e-12,4.58e-11
"Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_130","Enriched in Cluster 2",0,1.87,14.19,9.85e-08,1.32e-06
"Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","Enriched in Cluster 2",0,0.271,11.4,9.85e-08,1.32e-06
"Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_959","Enriched in Cluster 2",0,0.177,10.79,2.89e-07,3.52e-06
"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","Enriched in Cluster 2",0,0.734,12.84,4.86e-07,5.43e-06
"Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (92); ESV_418","Enriched in Cluster 2",0,0.41,12,8.09e-07,8.34e-06
"Flavobacteriales (98); Flavobacteriaceae (98); Lutimonas (36); ESV_347","Enriched in Cluster 2",0,0.293,11.52,1.33e-06,1.27e-05
"Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147","Enriched in Cluster 1",2.071,0.168,-3.62,2.7e-06,2.41e-05
"Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_541","Enriched in Cluster 2",0,0.07,9.44,3.49e-06,2.93e-05
"Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_280","Enriched in Cluster 2",0,0.13,10.35,5.57e-06,4.39e-05
"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709","Enriched in Cluster 2",0,0.606,12.56,1.38e-05,0.000102
"Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622","Enriched in Cluster 2",0,0.264,11.36,7.5e-05,0.000529
"Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94","Enriched in Cluster 1",1.693,0.388,-2.12,0.00011,0.000715
"Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_1166","Enriched in Cluster 2",0,0.071,9.47,0.000112,0.000715
"Flavobacteriales (93); Flavobacteriaceae (93); Lutibacter (50); ESV_526","Enriched in Cluster 2",0,0.248,11.28,0.000166,0.00101
"Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_220","Enriched in Cluster 2",0,0.485,12.24,0.000516,0.003
"Opitutales (100); Puniceicoccaceae (100); Lentimonas (100); ESV_88","Enriched in Cluster 2",0.777,2.35,1.6,0.000974,0.00508
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_96","Enriched in Cluster 1",4.254,2.083,-1.03,0.0011,0.00508
"Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_107","Enriched in Cluster 1",1.628,0.724,-1.17,0.00107,0.00508
"Desulfuromonadales (100); Sva1033 (100); Sva1033_ge (100); ESV_278","Enriched in Cluster 2",0,0.052,9.02,0.00106,0.00508
"Chitinophagales (100); Saprospiraceae (100); Portibacter (83); ESV_767","Enriched in Cluster 2",0,0.06,9.24,0.00106,0.00508
"Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10","Enriched in Cluster 2",0.763,2.007,1.4,0.00135,0.00601
"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_432","Enriched in Cluster 2",0,0.134,10.39,0.0015,0.00647
"Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217","Enriched in Cluster 1",1.894,0.186,-3.35,0.00179,0.00751
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361","Enriched in Cluster 2",0.034,0.422,3.61,0.00276,0.0112
"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (90); ESV_322","Enriched in Cluster 2",0,0.428,12.07,0.00409,0.0152
"Flavobacteriales (100); NS7_marine_group (100); NS7_marine_group_ge (100); ESV_777","Enriched in Cluster 2",0,0.043,8.74,0.00409,0.0152
"Flavobacteriales (99); Flavobacteriaceae (99); Lutibacter (87); ESV_1264","Enriched in Cluster 2",0,0.093,9.86,0.00409,0.0152
"Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_149","Enriched in Cluster 2",0,0.279,11.45,0.00565,0.0201
"Diplorickettsiales (5); Diplorickettsiaceae (5); uncultured (5); ESV_2764","Enriched in Cluster 1",0.207,0,-11.02,0.00585,0.0201
"Frankiales (68); Sporichthyaceae (64); hgcI_clade (43); ESV_3032","Enriched in Cluster 1",0.017,0,-7.41,0.00585,0.0201
"Alteromonadales (100); Alteromonadaceae (100); Paraglaciecola (100); ESV_38","Enriched in Cluster 2",0.363,1.006,1.47,0.00616,0.0206
"uncultured (53); uncultured_fa (53); uncultured_ge (53); ESV_804","Enriched in Cluster 1",0.291,0.021,-3.78,0.00777,0.0254
"SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_3710","Enriched in Cluster 1",0.601,0.027,-4.5,0.0082,0.0255
"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314","Enriched in Cluster 1",1.5,0.421,-1.83,0.0111,0.033
"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Enriched in Cluster 2",0,1.08,13.4,0.0144,0.0412
"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (70); ESV_196","Enriched in Cluster 2",0,0.572,12.48,0.0144,0.0412
