"","station","depth_type","depth_m","temp","salinity","NO3(uM)","Sil(uM)","PO4(uM)","cluster","water_mass"
"BOX_7_67","CBW12","surf",4.05,3.125,32.8985,16.2,28,1.624,7,"wSW"
"BOX_8_59","DBO2.2","surf",3.36,3.4125,32.757,16.2,30.3,1.506,1,"wSW"
"BOX_7_68","CBW12","bottom",48.12,3.124,32.8995,16.1,27.6,1.63,7,"wSW"
"BOX_6_51","CBW9","surf",3.3,3.271,32.8855,15.9,26.4,1.495,7,"wSW"
"BOX_7_63","CBW15","surf",4.92,3.097,32.7535,15.6,26.8,1.552,7,"wSW"
"BOX_7_64","CBW15","bottom",54.91,3.08,32.751,15.6,26.5,1.554,7,"wSW"
"BOX_7_62","CNL1","bottom",47.84,3.0945,32.763,15.1,26,1.585,7,"wSW"
"BOX_7_69","DBO2.5","surf",4.22,3.314,32.884,15.1,25.5,1.475,7,"wSW"
"BOX_7_70","DBO2.5","bottom",44.96,3.272,32.8805,15.1,25.9,1.489,7,"wSW"
"BOX_7_59","CNL2","bottom",52.64,3.313,32.752,14.8,24.7,1.543,7,"wSW"
"BOX_7_65","CBW14","surf",4.9,3.0935,32.8415,14.6,26.1,1.531,7,"wSW"
"BOX_7_66","CBW14","bottom",47.77,3.0925,32.8405,14.6,26.9,1.536,7,"wSW"
"BOX_7_61","CNL1","mid",9.78,3.102,32.763,14.4,25.1,1.536,7,"wSW"
"BOX_7_60","CNL1","surf",4.14,3.12,32.763,14,24.1,1.551,7,"wSW"
"BOX_8_54","CNL2","mid",25.6,3.7475,32.729,13.6,23.1,1.451,2,"wSW"
"BOX_8_46","CNL5","bottom",43.76,3.632,32.8275,13.4,19.8,1.526,3,"wSW"
"BOX_8_90","DBO3.6","surf",2.77,3.605,32.845,12.7,17.7,1.457,6,"wSW"
"BOX_8_91","DBO3.6","mid",19.7,3.1055,32.854,12.5,17.8,1.518,6,"wSW"
"BOX_6_54","CBW5","mid",9.8,3.59,32.8275,12.2,19.5,1.233,7,"wSW"
"BOX_5_31","CNL7","surf",3.12,4.7905,32.8165,11.1,17.8,1.379,3,"wSW"
"BOX_8_85","DBO3.8","mid",20.09,3.3585,32.8805,11,14.4,1.306,6,"wSW"
"BOX_8_44","CNL5","surf",4.24,3.738,32.8065,10.9,12.5,1.278,1,"wSW"
"BOX_8_45","CNL5","mid",11.25,3.733,32.8055,10.9,12,1.281,3,"wSW"
"BOX_8_89","DBO3.7","bottom",47.08,3.192,32.833,10.8,16.1,1.406,6,"wSW"
"BOX_8_88","DBO3.7","mid",19.91,3.356,32.8365,10.6,15.5,1.39,6,"wSW"
"BOX_8_87","DBO3.7","mid",9.85,3.569,32.84,10.4,13.6,1.274,6,"wSW"
"BOX_8_55","CBW5","surf",3.72,4.47,32.8095,10.1,18.1,1.069,3,"wSW"
"BOX_8_98","DBO3.6","mid",26.05,3.4475,32.8955,10.1,13.2,1.213,6,"wSW"
